Raw Roll, Raw Pitch, Raw Yar, Raw X, Raw Y, Raw Z, DMP Roll, DMP Pitch, DMP Yaw
-11.094376,1.2398682,-1.1856995,795.5564,16193.821,-679.9849,-1.3690796,-0.042053223,0.047973633,
-11.225754,1.2575226,-1.1955566,795.3765,16196.244,-676.7665,-1.385376,-0.04272461,0.048461914,
-11.319199,1.2682495,-1.2004547,797.11414,16197.325,-676.2693,-1.4003296,-0.04321289,0.048706055,
-11.276154,1.2729187,-1.1923981,797.47833,16198.298,-671.72284,-1.4143677,-0.043945313,0.048950195,
-11.140137,1.2721405,-1.1751709,797.30615,16200.173,-662.4323,-1.4273071,-0.044433594,0.049224854,
-10.843124,1.2564697,-1.1446991,796.65137,16199.661,-657.67004,-1.43927,-0.04486084,0.04940796,
-10.2091675,1.2174225,-1.0848541,795.0623,16197.401,-653.28406,-1.43927,-0.04486084,0.04940796,
-9.066559,1.1542969,-0.97831726,792.73236,16195.167,-642.5383,-1.4500427,-0.04510498,0.049560547,
-7.5713043,1.0855103,-0.8405304,790.13556,16193.557,-624.4693,-1.4500427,-0.04510498,0.049560547,
-1.16008,0.19012451,-0.25819397,699.19763,12962.256,-638.3005,-1.459259,-0.045654297,0.049591064,
0.50457764,-2.9803162,-0.2101593,636.17194,10053.6455,-667.3439,-1.4683838,-0.046203613,0.0496521,
1.4662323,-7.7775116,-0.32878113,660.52936,10675.022,-628.19867,-1.4777222,-0.047180176,0.049804688,
2.0673218,-13.549088,-0.54029846,666.35486,11237.356,-617.66223,-1.4777222,-0.047180176,0.049804688,
2.4141998,-21.81163,-0.9123993,676.8964,11735.756,-612.57837,-1.4871521,-0.048583984,0.050323486,
2.4839478,-31.525574,-1.3999329,682.2848,12183.513,-615.70105,-1.4871521,-0.048583984,0.050323486,
2.208374,-42.428604,-2.0006409,690.03357,12589.091,-617.1118,-1.496582,-0.050109863,0.05105591,
1.5856476,-52.832596,-2.6326294,701.90625,12951.809,-627.4793,-1.5057373,-0.051818848,0.051849365,
0.9624939,-64.67111,-3.3614044,716.3907,13276.354,-641.30884,-1.51474,-0.053588867,0.053100586,
0.54107666,-77.71315,-4.1449738,726.42725,13572.24,-653.9553,-1.5232544,-0.05529785,0.054504395,
0.22189331,-92.07761,-5.0019073,731.5611,13840.736,-661.438,-1.5307617,-0.056762695,0.05596924,
0.006958008,-108.06093,-5.9626923,737.1813,14076.283,-671.47156,-1.5375671,-0.058166504,0.0574646,
-0.20892334,-125.927734,-7.0568695,735.34106,14287.373,-696.1979,-1.5375671,-0.058166504,0.0574646,
-0.31336975,-149.39307,-8.4600525,733.8849,14485.151,-695.2571,-1.5435486,-0.059326172,0.059173584,
-0.1769104,-174.6511,-9.893509,736.7733,14668.449,-672.4158,-1.5435486,-0.059326172,0.059173584,
-0.32347107,-202.03735,-11.485916,744.57153,14826.918,-656.4575,-1.5488892,-0.06048584,0.061309814,
-0.9550781,-226.18831,-12.995407,754.48926,14964.141,-651.393,-1.553833,-0.06188965,0.064208984,
-1.9571533,-250.38998,-14.597534,758.4163,15088.739,-663.4309,-1.5592957,-0.06335449,0.06774902,
-3.0610504,-274.2914,-16.221527,760.9509,15197.678,-694.26,-1.5649109,-0.06451416,0.072021484,
-3.9547882,-297.9351,-17.815292,764.83167,15299.621,-719.6066,-1.570343,-0.06555176,0.07644653,
-4.337631,-320.9926,-19.319519,768.42426,15393.969,-721.62354,-1.5750885,-0.06604004,0.08078003,
-4.0037537,-343.18842,-20.690765,771.9575,15475.982,-712.8413,-1.5750885,-0.06604004,0.08078003,
-2.9517822,-368.2312,-22.159744,777.9367,15549.794,-693.3402,-1.5787506,-0.06616211,0.08444214,
-1.4483032,-391.1557,-23.43692,784.5177,15617.023,-666.19165,-1.5787506,-0.06616211,0.08444214,
2.4515076,-431.47794,-25.508926,768.4977,15746.151,-642.60254,-1.5814056,-0.06573486,0.08728027,
3.770401,-448.11176,-26.358978,741.0312,15808.54,-666.11694,-1.5838776,-0.06530762,0.08959961,
